,All Attendees RHLT2 / RHMZ Foyer,CODE Stream ,LEARN    Stream Electives RH105,LEARN    Stream Electives,
,RHLT2 / RHMZ Foyer,RHLT3,RH105,RHLT2,RHMZ220
8:15-8:45,Registration Open (Foyer),,,,
8:45-8:50,Welcome: Steven Warburton (LT2),,,,
8:50-9:30,Key Story: Kylie Reiri (LT2),,,,
9:30-10:30,,Intro to Data Visualization and Effective Use of Visual Variables,Author Carpentry,Intro to Video Abstracts,
10:30-11:00 (Foyer),Morning Tea,,,,
11:00-12:00,,Intro to Data Visualization and Effective Use of Visual Variables (cont),Social Media for Research,Intro to Video Abstracts (cont),
12:00-12:30,Research Showcase (LT2),,,,
12:30-1:30,Lunch + Musical performance from Vic Uke (Foyer),,,,
1:30-3:30,,Version Control and Collaboration with Git*,Data & Narratives with Harkanwal Singh,Working with Wikipedia ,
3:30-3:45,Afternoon Tea (Foyer),,,,
3:34-4:45,,Version Control and Collaboration with Git (cont.)*,Data & Narratives with Harkanwal Singh (cont.),Digital Storytelling with Knightlab,
4:45-5:15,Key Story: Markus Luczak-Roesch (LT2),,,,
